151.145.65.203	2095
150.230.204.117	2083
141.147.61.116	8443
138.3.223.70	80
158.101.70.155	8880
141.147.169.195	2096
168.138.206.236	2087
132.226.194.168	443
168.138.214.62	80
141.147.160.86	2087
138.3.210.114	2087
138.3.220.4	2095
138.3.212.226	2087
151.145.69.174	2052
130.162.162.176	443
131.186.34.244	2052
150.230.221.114	80
138.3.212.162	2052
138.3.212.162	8443
138.3.220.4	2052
144.21.60.220	443
168.138.200.155	2083
138.3.217.39	2053
143.47.179.149	443
150.230.205.56	2086
150.230.202.232	2082
140.83.35.10	2086
168.138.214.62	2052
158.101.65.24	2053
130.162.238.221	443
131.186.35.189	8080
168.138.202.145	8443
141.147.167.40	2087
89.168.123.85	443
151.145.65.8	8080
144.21.32.62	443
158.101.81.4	2052
140.83.38.243	2086
141.147.98.71	443
131.186.35.189	2082
138.3.214.43	2082
168.138.215.188	8080
141.144.203.101	443
158.101.70.155	2087
143.47.246.226	443
130.162.229.42	2053
150.230.208.83	80
138.3.216.67	2052
129.159.248.123	443
138.3.216.67	2082
141.147.186.210	8880
168.138.212.184	2086
150.230.208.83	8080
151.145.65.203	8443
141.147.178.115	2086
130.162.223.4	443
150.230.221.114	2082
141.147.183.96	2052
138.3.212.162	80
150.230.220.232	2082
158.101.209.37	443
158.101.209.184	443
150.230.221.114	2096
151.145.69.105	80
131.186.37.49	8880
158.101.65.24	2052
158.101.68.100	8443
168.138.211.131	8080
168.138.214.62	2096
158.101.206.70	8443
138.3.220.4	2082
138.3.211.101	8443
158.101.68.48	2095
151.145.69.174	2086
151.145.65.203	2087
158.101.68.100	2095
151.145.71.127	8880
168.138.194.121	2052
140.83.37.200	8080
150.230.197.156	2052
130.162.38.167	443
140.83.38.243	8080
129.146.240.62	443
158.101.70.155	2053
150.230.208.83	2086
141.147.166.189	8080
141.147.102.66	443
150.230.212.213	2087
168.138.198.53	2087
168.138.200.155	2082
138.3.214.43	2095
168.138.200.159	2086
141.147.92.143	443
150.230.221.219	2087
150.230.221.219	2096
151.145.71.127	2053
143.47.226.152	443
168.138.206.109	2053
168.138.202.145	2095
150.230.197.156	2082
141.147.166.189	2052
158.101.211.161	443
150.230.199.118	2053
158.101.81.4	2095
168.138.212.175	2052
193.123.39.235	443
152.67.133.128	443
158.101.68.100	2082
130.162.252.135	443
150.230.212.213	80
141.147.164.123	80
143.47.253.20	443
141.147.169.131	80
150.230.192.173	2087
150.230.202.232	2053
144.24.185.46	443
130.162.32.139	443
141.147.174.7	2082
150.230.201.63	2096
